Nippon Steel Trading	Nippon Steel & Sumitomo Metal	0.49120099237947
JC Penney	JM Smucker	0.10413432729215717
FBN Holdings	Alfresa Holdings	0.11617147077146577
Goldin Financial Holdings	Financial Street Holdings	0.3157389118696359
Hospira	Valeant Pharmaceuticals	0.12549236856328644
Xinhu Zhongbao	Shanghai Electric Group	0.12649558503957414
Axis Bank	UCO Bank	0.26216341009851685
Aareal Bank	Erste Group Bank	0.429728602322691
China Cinda Asset Management	China Development Financial	0.19708023312907932
Sumitomo Electric	Sojitz	0.22928524463865116
Edison International	International Airlines	0.1594419918843386
Showa Shell Sekiyu	Nippon Yusen	0.13011453861494482
Emerson Electric	DTE Energy	0.10699045011543538
Itochu	Sumitomo Electric	0.22514499608055813
Interactive Brokers Group	Phoenix Group Holdings	0.14523270178257294
China State Construction Engineering	China Fortune Land Development	0.13059013972291572
China Resources Power	Tokyo Electric Power	0.1311780068005401
Shenzhen Overseas	Shanghai Construction	0.1537064468444901
Kraft Foods	Danone	0.17947001748707958
Saudi British Bank	Arab National Bank	0.15386010720139806
Fukuoka Financial Group	Yamato Holdings	0.12268162205998374
Osaka Gas	Korea Gas	0.10347998848791908
Xilinx	Altera	0.514878602903865
Sumitomo Rubber	Sojitz	0.30644095062751303
China State Construction Engineering	China Power International Development	0.27771842499180327
Kaisa Group Holdings	Midea Group Co. Ltd.	0.26308316406112997
MegaFon	Rostelecom	0.5936611080136316
Banco do Brasil	Bancolombia	0.121453433258876
SJM Holdings	HSBC Holdings	0.19157602373066998
Sumitomo Corp	SMC Corp	0.11800384691555203
Chow Tai Fook Jewellery	Hon Hai Precision	0.14990741267470994
Banco Comercial Portugues	Banco Continental	0.12418162432290043
HSBC Holdings	Yuanta Financial Holding	0.10026948876319443
STMicroelectronics	Infineon Technologies	0.18854256435829675
Recruit Holdings	HSBC Holdings	0.11905580794884339
Willis Group Holdings	AerCap Holdings	0.12684527475740776
SKF Group	Sandvik	0.13327850275533532
Motor Oil	SAIC Motor	0.13289902731634579
Attijariwafa Bank	National Commercial Bank	0.17818541600773313
China Taiping Insurance	Shanghai Construction	0.10232222258677648
Financial Street Holdings	Cathay Financial	0.10099651305647095
FBN Holdings	FIBI Holdings	0.1139539468812191
Industrial Bank	First Gulf Bank	0.2527048704769671
Symetra Financial	AmTrust Financial Services	0.23530217688107216
Guangdong Electric Power	Korea Electric Power	0.551601131881336
DVB Bank	Taiwan Cooperative Financial	0.10213451274083145
Sumitomo Corp	Sojitz	0.34230157709866565
Alpha Bank	Industrial Bank	0.2534175295765366
Verizon Communications	Rogers Communications	0.20627352749939626
Royal Boskalis	Royal Dutch Shell	0.36112153729055185
China Resources Power	SDIC Power Holdings	0.36617979258903594
Bouygues	KPN	0.10135670638354098
Fanuc	NSK	0.14880042576893904
Credicorp	Banco BPI	0.1523062519811931
First Republic Bank	Keiyo Bank	0.12567446647090688
Olam International	Cameron International	0.12097793318012684
Oceanwide Holdings	Guangzhou Automobile Group Co. Ltd.	0.1946569775401175
EOG Resources	Talisman Energy	0.1760047465685203
HSBC Holdings	Taishin Financial Holdings	0.20402636744640953
Baoshan Iron & Steel	Hyundai Steel	0.10394094014855228
Barwa Real Estate	Mitsubishi Estate	0.10541275501925004
Wisconsin Energy	Alliant Energy	0.15811386423680657
Abu Dhabi Commercial Bank	Industrial Bank	0.10324614834097083
Tohoku Electric Power	China Resources Power	0.15823124997684568
Industrial Alliance Insurance	LIG Insurance	0.1803535921315397
Kawasaki Heavy Industries	Fuji Heavy Industries	0.26780521753433406
China Merchants Bank	Kagoshima Bank	0.2476105525840638
Industrial Bank	TD Bank Group	0.20516526799526233
Canadian Imperial Bank	Royal Ahold	0.12689577383114312
Kasikornbank	Siam Commercial Bank	0.12960604426417774
Uniqa	APA Group	0.10199585926016562
IKB Deutsche	Deutsche Annington Immobilien	0.23007715495665498
Sonova Holding	ASML Holding	0.15151392101473457
Asahi Group Holdings	Alfresa Holdings	0.262792468920969
Metropolitan Bank & Trust	Public Bank	0.1288798763856393
Formosa Chemicals	Dow Chemical	0.12729342695224843
RMB Holdings	NKSJ Holdings	0.2424048241563166
Balfour Beatty	Jardine Matheson	0.10038783074006859
HD Supply Holdings	Belle International Holdings	0.13219188804067025
Ashikaga Holdings	Mizuho Financial	0.25631528758594313
Public Bank	Nanto Bank	0.22693032966652366
Telenor	Swisscom	0.13721819911967847
Baoshan Iron & Steel	Hebei Iron & Steel	0.8076253924188233
Kagoshima Bank	Gunma Bank	0.5905229802252671
Daewoo Securities	Hanwha Corp	0.12754771170864324
China Aviation Oil	Motor Oil	0.1289149833403085
Sempra Energy	Alliant Energy	0.23403204301293387
Grupa PZU	PKO Bank Polski	0.16061568390890868
Prudential Financial	MetLife	0.2068979618868446
Allied World Assurance	Direct Line Insurance	0.1436829713086275
Murphy USA	Murphy Oil	0.2559265170122274
Olam International	Honeywell International	0.12395039501475341
Xcel Energy	Alliant Energy	0.37487838041804156
CVS Health	Kroger	0.1117474564833324
Falabella	Cencosud	0.6120742224908675
Doha Bank	Punjab National Bank	0.1034927558491506
Huaxia Bank	Aozora Bank	0.2282122757978154
Erste Group Bank	Piraeus Bank	0.15191296123097758
Daishi Bank	Taiwan Cooperative Financial	0.2328827126004693
China State Construction Engineering	Sinohydro Group	0.1327075004630789
Indian Bank	Indian Overseas Bank	0.6109698440652904
DGB Financial Group	SVB Financial Group	0.25488336308368353
Tongling Nonferrous Metals	JSW Steel	0.12465616647339102
CF Industries Holdings	Brother Industries	0.15732824433106465
Direct Line Insurance	QBE Insurance Group	0.12170334427538146
EFG Eurobank Ergasias	Attijariwafa Bank	0.12516396973941613
Dominion Resources	Continental Resources	0.20135653113808483
Shizuoka Bank	Kiyo Bank	0.39031017794203815
Greentown China Holdings	China Gezhouba	0.1754946415860307
PBF Energy	Southwestern Energy	0.23760591691716507
NKSJ Holdings	CIMB Group Holdings	0.16186633883391172
Fujifilm Holdings	Oceanwide Holdings	0.11850517657308905
Fujifilm Holdings	Crown Holdings	0.11426804112775822
Industrial Bank	Ahli United Bank	0.10021917638537986
Axis Bank	Public Bank	0.2568864650898967
Aon	Assurant	0.12786932358091282
Daikin Industries	Fuji Heavy Industries	0.162034410951209
Hankyu Hanshin Holdings	Tokyu	0.33097827071411773
American Tower	Anglo American	0.14914123077847305
JSW Steel	Hyundai Steel	0.19757570787733786
AutoZone	CarMax	0.32659298649700386
Hanwa	Daito Trust Construction	0.10414545062950228
Rohm	Evonik	0.12407303677410142
Industrial Bank	Alinma Bank	0.12832003547554383
Dubai Islamic Bank	Arab National Bank	0.1266657849169484
Steinhoff International	Edison International	0.24470494956769867
Commercial International Bank	Chugoku Bank	0.127777361041675
Kaisa Group Holdings	RMB Holdings	0.17826915943871408
TD Bank Group	PNC Financial Services	0.10178075036350284
China Coal Energy	Huadian Power International	0.32506827908745445
PPL	FirstEnergy	0.6301268039856378
Cathay Financial	Yuanta Financial Holding	0.5048566191501584
Boeing	Northrop Grumman	0.1102093097989147
Commercial International Bank	Blom Bank	0.14816145364279618
Mitsubishi UFJ Lease	NKSJ Holdings	0.10142653945733701
Meiji Holdings	Midea Group Co. Ltd.	0.21866074930388077
Chongqing Rural Bank	Iyo Bank	0.15779167326434526
Merck	Bayer	0.15660666585368296
Dominion Resources	Canadian Natural Resources	0.12839386536643552
American Financial Group	IOI Group	0.10099696251990843
Shanghai Industrial Holdings	China Communications Construction	0.15024291623644015
China Merchants Holdings	China Resources Land	0.1757707808637724
PBF Energy	Cimarex Energy	0.13230329228769203
Shinsei Bank	Mizuho Financial	0.26961286498361187
Public Power	Kansai Electric Power	0.4135220545923512
Xinhu Zhongbao	Fosun International	0.12460612279310283
Nippon Paper Industries	Mitsubishi Materials	0.14952643847579292
China Construction Bank	Taiwan Cooperative Financial	0.10349513641551003
Hengan International Group	American International Group	0.10609459265918396
First Gulf Bank	Guaranty Trust Bank	0.12805352391414287
Renesas Electronics	Compal Electronics	0.14877716153180615
Bolsas & Mercados	Grupo Inbursa	0.1271439747946611
Pinnacle West	Far Eastern New Century	0.11582712989673177
Itochu	JFE Holdings	0.12415897225948211
Verizon Communications	Charter Communications	0.18485148249795427
NKSJ Holdings	Oji Holdings	0.31931976752563057
Credito Emiliano	Grupo Aval	0.22783150445072312
Thanachart Capital	Siam Commercial Bank	0.17878320939561243
Fannie Mae	Freddie Mac	0.15735836060330374
China Merchants Holdings	Gemdale	0.17198080568733082
Intouch Holdings	Midea Group Co. Ltd.	0.10797035984267005
China Shipbuilding Industry	China National Materials	0.128986512899539
Kao Corp	KT Corp	0.13818556937330034
Linear Technology	TPV Technology	0.38173092522015845
